x1,y1,x2,y2,seg_len,ddl_30d
1701,-464,1729,-471,28.861739,2.420935
1669,-459,1701,-464,32.388269,2.420935
1583,-504,1604,-417,89.498603,2.397271
1627,-551,1583,-504,64.381674,2.867494
1678,-564,1627,-551,52.630789,2.357869
1673,-416,1669,-459,43.185646,2.901728
1675,-403,1673,-416,13.152946,2.901728
1680,-400,1675,-403,5.830952,3.271433
1717,-399,1680,-400,37.013511,3.271433
1739,-402,1717,-399,22.203603,3.271433
1682,-382,1680,-400,18.11077,4.25298
1675,-379,1682,-382,7.615773,4.329573
1671,-354,1675,-379,25.317978,3.420865
1734,-442,1739,-411,31.400637,2.362725
1729,-471,1734,-442,29.427878,2.362725
1749,-558,1742,-559,7.071068,3.400437
1761,-560,1749,-558,12.165525,3.400437
1782,-564,1761,-560,21.377558,3.400437
1766,-537,1783,-538,17.029386,3.502355
1766,-515,1766,-537,22,4.427929
1794,-572,1780,-583,17.804494,2.12732
1838,-516,1794,-572,71.217975,2.12732
1805,-510,1785,-510,20,2.9403
1838,-516,1805,-510,33.54102,2.9403
1768,-593,1727,-579,43.324358,2.357869
1780,-583,1768,-593,15.620499,2.12732
1733,-560,1727,-579,19.924859,3.24489
1742,-559,1733,-560,9.055385,3.400437
1730,-546,1734,-538,8.944272,5.292235
1731,-554,1730,-546,8.062258,5.29602
1742,-554,1731,-554,11,4.310312
1734,-524,1743,-523,9.055385,4.308325
1734,-538,1734,-524,14,5.292235
1773,-386,1807,-387,34.014703,3.76111
1773,-413,1773,-386,27,4.04323
1767,-413,1773,-413,6,3.279723
1792,-467,1810,-467,18,2.851731
1788,-474,1792,-467,8.062258,2.516464
1893,-458,1872,-477,28.319605,2.176009
1917,-442,1893,-458,28.84441,2.176009
1906,-446,1917,-442,11.7047,2.147005
1881,-458,1906,-446,27.730849,2.147005
1870,-390,1883,-389,13.038405,3.811736
1869,-401,1870,-390,11.045361,4.718848
1826,-472,1868,-475,42.107007,2.851731
1810,-467,1826,-472,16.763055,2.851731
1815,-441,1810,-467,26.476405,3.482883
1803,-436,1815,-441,13,3.340652
1883,-439,1887,-425,14.56022,2.84726
1881,-458,1883,-439,19.104973,2.84726
1910,-426,1917,-442,17.464249,3.112616
1905,-427,1910,-426,5.09902,3.812871
1887,-425,1905,-427,18.11077,3.812871
1883,-381,1883,-389,8,2.84726
1889,-362,1883,-381,19.924859,2.84726
1888,-402,1887,-425,23.021729,2.84726
1886,-395,1888,-402,7.28011,2.84726
1883,-389,1886,-395,6.708204,2.84726
1847,-401,1869,-401,22,5.090816
1847,-418,1847,-401,17,4.704776
1831,-420,1847,-418,16.124515,3.754313
1803,-417,1831,-420,28.160256,3.754313
1877,-332,1906,-335,29.154759,3.628216
1855,-326,1877,-332,22.803509,3.628216
1802,-301,1796,-302,6.082763,3.790305
1810,-303,1802,-301,8.246211,3.790305
1808,-317,1810,-303,14.142136,2.795485
1808,-334,1808,-317,17,2.795485
1809,-363,1808,-334,29.017236,2.795485
1784,-291,1804,-282,21.931712,2.948831
1742,-298,1784,-291,42.579338,2.948831
2008,-368,1987,-398,36.619667,2.12732
1997,-344,2008,-368,26.400758,2.202842
1693,-355,1676,-353,17.117243,2.439318
1740,-358,1693,-355,47.095647,2.439318
1825,-350,1852,-348,27.073973,2.539479
1809,-363,1825,-350,20.615528,2.678098
1914,-330,1972,-346,60.166436,3.111537
1906,-335,1914,-330,9.433981,3.814828
1959,-294,1927,-276,36.71512,2.202842
1984,-321,1959,-294,36.796739,2.202842
1843,-308,1856,-313,13.928388,2.855852
1820,-288,1843,-308,30.479501,2.855852
1825,-273,1820,-288,15.811388,3.837775
1831,-268,1825,-273,7.81025,4.398837
1849,-268,1831,-268,18,4.077982
1854,-252,1849,-268,16.763055,3.184594
1803,-262,1804,-282,20.024984,3.529834
1783,-260,1803,-262,20.099751,3.621398
1760,-263,1783,-260,23.194827,3.621398
1760,-269,1760,-263,6,3.76156
1738,-273,1760,-269,22.36068,2.812607
1652,-208,1715,-214,63.285069,2.202842
1597,-218,1652,-208,55.901699,2.202842
1624,-259,1597,-262,27.166155,2.999836
1670,-262,1624,-259,46.097722,2.999836
1689,-257,1670,-262,19.646883,2.999836
1663,-319,1682,-337,26.172505,4.027902
1645,-313,1663,-319,18.973666,4.027902
1644,-289,1645,-313,24.020824,4.087916
1631,-288,1644,-289,13.038405,3.3979
1619,-280,1631,-288,14.422205,3.3979
1596,-269,1619,-280,25.495098,3.3979
1600,-229,1597,-262,33.136083,2.442048
1597,-218,1600,-229,11.401754,2.442048
1537,-316,1587,-332,52.497619,2.942436
1518,-287,1537,-316,34.669872,2.912033
1510,-279,1534,-251,36.878178,2.202842
1518,-287,1510,-279,11.313708,2.912033
1564,-230,1597,-218,35.1141,2.202842
1534,-251,1564,-230,36.619667,2.202842
1639.816782,-360.854066,1639.00756,-417.702366,56.85406,2.977455
1671,-354,1639.816782,-360.854066,31.927595,2.439318
1547,-264,1597,-262,50.039984,2.999836
1547,-264,1518,-287,37.013511,3.490974
1547,-264,1534,-251,18.384776,3.007729
1717,-272,1717,-306,34,2.688534
1716,-256,1717,-272,16.03122,2.688534
1804,-282,1812,-284,8.246211,2.855852
1856,-313,1869,-257,57.489129,2.69989
1742,-306,1740,-358,52.038447,2.362725
1740,-358,1809,-363,69.180922,2.439318
1869,-257,1927,-276,61.032778,2.202842
1972,-346,1949,-384,44.418465,2.930592
1856,-313,1855,-326,13.038405,2.69989
1855,-326,1852,-348,22.203603,2.69989
1906,-335,1896,-365,31.622777,2.917523
1927,-276,1906,-335,62.625873,2.917523
1972,-346,1997,-344,25.079872,3.111537
1869,-401,1868,-414,13.038405,4.718848
1803,-417,1803,-436,19,2.795485
1809,-363,1807,-387,24.083189,2.795485
1804,-409,1803,-417,8.062258,2.795485
1804,-409,1827,-412,23.194827,3.787099
1868,-475,1881,-458,21.400935,2.147005
1727,-579,1708,-572,20.248457,2.357869
1708,-572,1678,-564,31.048349,2.357869
1604,-417,1602,-358,59.033889,2.397271
1838,-516,1872,-477,51.739733,2.176009
1719,-522,1708,-572,51.195703,2.362725
1747,-473,1746,-512,39.012818,3.32135
1784,-517,1785,-510,7.071068,2.516464
1587,-332,1602,-358,30.016662,2.397271
1671,-354,1676,-353,5.09902,2.439318
1676,-353,1682,-337,17.088007,3.072051
1682,-337,1689,-309,28.861739,3.072051
1689,-309,1689,-257,52,3.072051
1597,-262,1596,-269,7.071068,2.442048
1602,-358,1639.816782,-360.854066,37.924329,2.439318
1639.00756,-417.702366,1638.203739,-440.015325,22.327433,2.977455
1604,-417,1638.203739,-440.015325,41.226217,2.420935
1638.203739,-440.015325,1669,-459,36.177722,2.420935
1639.00756,-417.702366,1616.986953,-416.679392,22.044355,3.969485
1746,-512,1766,-515,20.223748,3.442039
1766,-515,1784,-517,18.11077,3.442039
1729,-471,1719,-522,51.971146,2.362725
1719,-522,1675,-514,44.72136,3.288082
1669,-459,1675,-514,55.326305,2.901728
1675,-514,1678,-564,50.089919,2.901728
1769,-473,1747,-473,22,2.420935
1747,-473,1729,-471,18.11077,2.420935
1739,-411,1767,-413,28.071338,3.279723
1739,-411,1739,-402,9,2.362725
1739,-402,1740,-358,44.011362,2.362725
1743,-523,1746,-512,11.401754,3.32135
1742,-559,1742,-554,5,3.32135
1734,-538,1742,-538,8,4.308706
1742,-538,1742,-554,16,3.32135
1784,-517,1783,-538,21.023796,2.516464
1783,-538,1782,-564,26.019224,2.516464
1782,-564,1780,-583,19.104973,2.516464
1768,-436,1769,-473,37.013511,3.193804
1769,-473,1788,-474,19.026298,2.420935
1785,-510,1788,-474,36.124784,2.516464
1838,-516,1868,-475,50.803543,2.147005
1807,-387,1804,-409,22.203603,2.795485
1767,-413,1768,-436,23.021729,3.193804
1768,-436,1803,-436,35,3.340652
1868,-475,1872,-477,4.472136,2.851731
1984,-321,1997,-344,26.41969,2.202842
1972,-346,1984,-321,27.730849,2.930592
1852,-348,1889,-362,39.560081,2.539479
1889,-362,1896,-365,7.615773,2.539479
1896,-365,1949,-384,56.302753,2.539479
1949,-384,1987,-398,40.496913,2.539479
1810,-303,1812,-284,19.104973,2.795485
1869,-257,1854,-252,15.811388,2.202842
1854,-252,1787,-231,70.213959,2.202842
1820,-288,1812,-284,8.944272,2.855852
1783,-260,1787,-231,29.274562,3.155539
1787,-231,1715,-214,73.979727,2.202842
1715,-214,1716,-256,42.011903,2.688534
1716,-256,1689,-257,27.018512,2.999836
1689,-309,1717,-306,28.160256,2.766479
1717,-306,1742,-306,25,2.766479
1742,-306,1742,-298,8,2.362725
1742,-298,1738,-273,25.317978,2.362725
1738,-273,1717,-272,21.023796,2.812607
1587,-332,1605,-332,18,2.942436
1608.706581,-307.77289,1590.951929,-306.145562,17.829073,3.435603
1587,-332,1590.951929,-306.145562,26.154726,2.442048
1590.951929,-306.145562,1596,-269,37.487009,2.442048
1974,-414,1987,-398,20.615528,2.12732
1952,-429,1974,-414,26.627054,2.12732
1917,-442,1952,-429,37.336309,2.12732
1743,-530,1742,-538,8.062258,3.32135
1743,-523,1743,-530,7,3.32135
